,TITLE,ARTIST,GENRE,YEAR,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,POPULARITY
1,Brave,Sara Bareilles,Acoustic Pop,2013,185,84,55,-4,4,76,221,1,5,71
2,Turning Page,Sleeping At Last,Acoustic Pop,2011,125,38,30,-8,11,19,255,91,3,46
3,Foolish Games,Jewel,Alaska Indie,2013,132,34,51,-11,12,7,250,23,3,36
4,Talk (feat. Disclosure),Khalid,Alternative R&B,2019,136,40,90,-9,6,35,198,5,13,84
5,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,Art Pop,2013,126,81,57,-6,13,11,215,2,6,74
6,Love,Lana Del Rey,Art Pop,2017,99,37,53,-11,11,23,273,49,3,72
7,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,Art Pop,2017,135,57,76,-9,20,14,261,2,13,67
8,Lust for Life (with The Weeknd),Lana Del Rey,Art Pop,2017,100,67,51,-9,36,27,264,58,6,54
9,Team,Lorde,Art Pop,2014,100,58,69,-7,31,42,193,17,9,73
10,Freak,Kelly Rowland,ATL Hip Hop,2013,104,78,65,-5,12,45,274,13,6,28
11,Castle Walls (feat. Christina Aguilera),T.I.,ATL Hip Hop,2010,80,86,45,-5,26,58,329,7,39,49
12,OMG (feat. will.i.am),Usher,ATL Hip Hop,2010,130,75,78,-6,36,33,269,20,3,72
13,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,ATL Hip Hop,2010,120,86,66,-3,8,65,221,3,11,52
14,Chandelier,Sia,Australian Dance,2014,174,78,29,-3,7,62,216,2,7,56
15,Elastic Heart,Sia,Australian Dance,2015,130,79,42,-5,15,50,257,1,5,73
16,Alive,Sia,Australian Dance,2015,100,76,51,-4,11,44,264,25,5,61
17,Cheap Thrills,Sia,Australian Dance,2016,90,80,59,-5,8,73,225,6,22,64
18,The Greatest,Sia,Australian Dance,2017,192,73,67,-6,6,73,210,1,27,76
19,Free Me,Sia,Australian Dance,2017,87,46,27,-4,14,21,286,85,3,44
20,Fancy,Iggy Azalea,Australian Hip Hop,2014,95,72,91,-4,5,38,200,9,7,70
21,Whataya Want from Me,Adam Lambert,Australian Pop,2010,186,68,44,-5,6,45,227,1,5,66
22,If I Had You,Adam Lambert,Australian Pop,2010,131,91,65,-4,37,79,228,1,11,59
23,Price Tag,Jessie J,Australian Pop,2011,175,83,64,-4,27,68,223,3,18,72
24,Domino,Jessie J,Australian Pop,2012,127,55,76,-5,4,78,232,1,3,69
25,Bang Bang,Jessie J,Australian Pop,2015,150,75,71,-4,38,73,199,27,9,61
26,Only Girl (In The World),Rihanna,Barbadian Pop,2010,126,72,79,-4,7,61,235,13,4,73
27,Hard,Rihanna,Barbadian Pop,2010,182,75,31,-4,65,16,251,1,11,57
28,What's My Name?,Rihanna,Barbadian Pop,2011,100,79,69,-3,8,58,263,23,7,69
29,We Found Love,Rihanna,Barbadian Pop,2011,128,77,73,-4,11,60,215,3,4,61
30,Cheers (Drink To That),Rihanna,Barbadian Pop,2011,80,91,58,-4,29,73,262,2,4,58
31,S&M Remix,Rihanna,Barbadian Pop,2011,128,81,82,-3,5,89,257,5,5,54
32,Where Have You Been,Rihanna,Barbadian Pop,2012,128,85,72,-6,22,44,243,0,9,68
33,Diamonds,Rihanna,Barbadian Pop,2012,92,71,56,-5,11,39,225,0,5,61
34,You Da One,Rihanna,Barbadian Pop,2012,127,72,70,-5,13,86,200,50,4,57
35,Right Now - Dyro Radio Edit,Rihanna,Barbadian Pop,2013,130,74,53,-6,24,45,186,0,4,42
36,FourFiveSeconds,Rihanna,Barbadian Pop,2015,206,27,58,-6,13,35,188,88,5,80
37,American Oxygen,Rihanna,Barbadian Pop,2015,78,75,39,-6,33,48,320,5,9,61
38,Needed Me,Rihanna,Barbadian Pop,2016,111,31,67,-8,8,30,192,11,24,80
39,Work,Rihanna,Barbadian Pop,2016,92,53,73,-6,9,56,219,8,9,78
40,Love On The Brain,Rihanna,Barbadian Pop,2018,172,64,51,-5,8,38,224,7,5,82
41,Reality - Radio Edit,Lost Frequencies,Belgian EDM,2015,122,70,71,-8,7,60,159,2,3,61
42,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,Belgian EDM,2017,122,64,73,-7,8,53,158,2,4,59
43,Heroes (we could be),Alesso,Big Room,2015,126,75,52,-4,24,35,210,4,6,56
44,Wake Me Up,Avicii,Big Room,2013,124,78,53,-6,16,64,247,0,5,85
45,Hey Brother,Avicii,Big Room,2014,125,78,55,-5,8,46,255,3,4,78
46,Broken Arrows,Avicii,Big Room,2015,116,67,63,-7,10,29,233,5,5,65
47,Rich Boy,Galantis,Big Room,2017,110,90,74,-2,8,65,184,7,5,55
48,In the Name of Love,Martin Garrix,Big Room,2016,134,52,50,-6,45,17,196,11,4,81
49,There for You,Martin Garrix,Big Room,2017,106,64,61,-8,12,13,222,12,6,76
50,All Around The World (La La La),R3HAB,Big Room,2019,125,86,73,-5,11,52,148,48,3,82
51,Don't You Worry Child - Radio Edit,Swedish House Mafia,Big Room,2013,129,84,61,-3,12,44,213,11,5,78
52,She Looks So Perfect,5 Seconds of Summer,Boy Band,2014,160,95,49,-4,33,44,202,0,13,71
53,Pom Poms,Jonas Brothers,Boy Band,2013,148,98,68,-2,28,90,198,7,9,52
54,Only Human,Jonas Brothers,Boy Band,2019,94,50,80,-6,6,87,183,11,7,87
55,Sucker,Jonas Brothers,Boy Band,2019,138,73,84,-5,11,95,181,4,6,86
56,What Makes You Beautiful,One Direction,Boy Band,2012,125,79,73,-2,6,89,200,1,7,78
57,Story of My Life,One Direction,Boy Band,2013,121,66,60,-6,12,29,245,23,5,81
58,Best Song Ever,One Direction,Boy Band,2013,118,88,65,-3,8,49,200,2,5,73
59,Kiss You,One Direction,Boy Band,2013,90,93,63,-3,32,91,183,2,6,73
60,Night Changes,One Direction,Boy Band,2015,120,52,67,-8,12,37,227,86,4,77
61,Perfect,One Direction,Boy Band,2015,100,82,65,-5,12,40,230,6,8,55
62,Steal My Girl,One Direction,Boy Band,2015,77,76,47,-6,14,52,227,0,4,51
63,Glad You Came,The Wanted,Boy Band,2012,127,85,72,-4,11,45,198,3,6,72
64,Walks Like Rihanna,The Wanted,Boy Band,2013,126,82,56,-3,10,43,202,1,6,62
65,We Own The Night,The Wanted,Boy Band,2013,104,94,55,-4,23,56,206,1,13,56
66,Someone Like You,Adele,British Soul,2011,135,33,56,-8,10,28,285,89,3,80
67,Rolling in the Deep,Adele,British Soul,2011,105,76,73,-5,5,52,228,13,3,76
68,Set Fire to the Rain,Adele,British Soul,2012,108,68,61,-4,13,47,242,0,3,76
69,Hello,Adele,British Soul,2015,158,45,48,-6,9,29,295,34,3,73
70,All I Ask,Adele,British Soul,2016,142,28,59,-5,15,34,272,88,3,71
71,Send My Love (To Your New Lover),Adele,British Soul,2016,164,52,69,-8,17,56,223,4,10,61
72,When We Were Young,Adele,British Soul,2016,144,59,38,-6,9,27,291,35,5,58
73,Million Years Ago,Adele,British Soul,2016,0,0,0,-60,0,0,227,0,0,0
74,Water Under the Bridge,Adele,British Soul,2017,95,84,60,-7,11,47,240,2,7,49
75,Only Love Can Hurt Like This,Paloma Faith,British Soul,2015,91,89,57,-5,33,31,233,10,8,69
76,Silence,Marshmello,Brostep,2018,142,76,52,-3,17,29,181,26,9,82
77,Happier,Marshmello,Brostep,2019,100,79,69,-3,17,67,214,19,5,90
78,Here,Alessia Cara,Canadian Contemporary R&B,2015,120,82,38,-4,8,33,199,8,10,68
79,Scars To Your Beautiful,Alessia Cara,Canadian Contemporary R&B,2016,97,74,57,-6,11,45,230,3,13,79
80,"How Far I'll Go - From ""Moana""",Alessia Cara,Canadian Contemporary R&B,2017,181,54,31,-10,7,16,176,16,35,71
81,The Hills,The Weeknd,Canadian Contemporary R&B,2015,113,56,58,-7,14,14,242,7,5,84
82,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,Canadian Contemporary R&B,2015,120,38,66,-6,10,44,252,39,3,79
83,Starboy,The Weeknd,Canadian Contemporary R&B,2017,186,59,68,-7,14,49,230,14,28,85
84,I Feel It Coming,The Weeknd,Canadian Contemporary R&B,2017,93,82,77,-6,7,59,269,43,12,81
85,"Hold On, We're Going Home",Drake,Canadian Hip Hop,2013,100,41,77,-7,7,29,228,0,10,73
86,Too Good,Drake,Canadian Hip Hop,2016,118,65,79,-8,10,39,263,5,10,74
87,Behind Your Back,Nelly Furtado,Canadian Latin,2016,98,47,80,-10,7,69,228,25,4,18
88,What the Hell,Avril Lavigne,Canadian Pop,2011,150,93,58,-4,14,88,221,0,5,74
89,Rock N Roll,Avril Lavigne,Canadian Pop,2013,184,96,47,-3,34,67,207,1,13,61
90,Call Me Maybe,Carly Rae Jepsen,Canadian Pop,2012,120,58,78,-7,11,66,193,1,4,76
91,I Really Like You,Carly Rae Jepsen,Canadian Pop,2015,122,81,62,-5,22,60,205,1,4,66
92,Run Away With Me,Carly Rae Jepsen,Canadian Pop,2016,119,72,56,-6,5,25,251,1,5,63
93,Higher,Carly Rae Jepsen,Canadian Pop,2016,114,87,65,-5,37,44,234,1,6,46
94,Cut To The Feeling,Carly Rae Jepsen,Canadian Pop,2017,115,91,71,-3,30,65,208,1,6,69
95,I Love It (feat. Charli XCX),Icona Pop,Candy Pop,2013,126,91,71,-3,15,82,157,1,3,67
96,Hall of Fame,The Script,Celtic Rock,2013,85,87,42,-4,12,63,203,7,6,80
97,Monster,Kanye West,Chicago Rap,2011,125,69,63,-6,67,10,379,0,20,73
98,Loca,Shakira,Colombian Pop,2010,112,87,80,-4,9,85,193,19,7,56
99,Can't Remember to Forget You (feat. Rihanna),Shakira,Colombian Pop,2014,138,81,69,-4,14,82,207,12,7,62
100,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,Colombian Pop,2014,128,82,80,-5,35,61,198,18,4,50
101,Clarity,Zedd,Complextro,2013,128,78,51,-3,7,18,271,4,7,75
102,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,Complextro,2014,128,74,60,-3,9,46,217,11,4,64
103,I Want You To Know,Zedd,Complextro,2015,130,85,58,-3,14,37,240,1,6,68
104,True Colors,Zedd,Complextro,2016,126,79,57,-3,10,49,225,40,4,51
105,Stay,Zedd,Complextro,2017,102,62,69,-5,12,54,210,25,6,80
106,Get Low (with Liam Payne),Zedd,Complextro,2017,108,93,72,-4,5,54,205,3,5,66
107,Tequila,Dan + Shay,Contemporary Country,2018,86,59,47,-6,13,50,196,3,3,76
108,My First Kiss - feat. Ke$ha,3OH!3,Dance Pop,2010,138,89,68,-4,36,83,192,1,8,62
109,Supernova,Ansel Elgort,Dance Pop,2018,140,62,77,-5,21,68,191,6,10,72
110,The Way,Ariana Grande,Dance Pop,2013,82,88,65,-3,8,86,227,29,11,68
111,Problem,Ariana Grande,Dance Pop,2014,103,81,66,-5,16,63,194,2,15,75
112,Love Me Harder,Ariana Grande,Dance Pop,2015,99,71,47,-4,8,24,236,1,3,76
113,Break Free,Ariana Grande,Dance Pop,2015,130,70,69,-5,20,28,215,1,5,75
114,Focus,Ariana Grande,Dance Pop,2015,100,88,67,-6,44,79,211,27,24,66
115,Into You,Ariana Grande,Dance Pop,2016,108,73,62,-6,14,37,244,2,11,80
116,Dangerous Woman,Ariana Grande,Dance Pop,2016,134,60,66,-5,36,29,236,5,4,78
117,Side To Side,Ariana Grande,Dance Pop,2017,159,74,65,-6,24,61,226,5,23,80
118,no tears left to cry,Ariana Grande,Dance Pop,2018,122,71,70,-6,29,35,206,4,6,84
119,What About Love,Austin Mahone,Dance Pop,2013,100,78,63,-7,4,28,203,0,4,54
120,Mmm Yeah (feat. Pitbull),Austin Mahone,Dance Pop,2014,126,92,71,-4,27,98,232,0,4,65
121,I Got You,Bebe Rexha,Dance Pop,2016,98,89,61,-5,9,32,192,5,5,64
122,Ferrari,Bebe Rexha,Dance Pop,2018,77,48,58,-6,10,42,213,2,3,57
123,Run the World (Girls),Beyonce,Dance Pop,2011,127,90,73,-4,37,76,236,0,14,76
124,Love On Top,Beyonce,Dance Pop,2011,94,75,65,-5,60,65,267,8,9,76
125,Best Thing I Never Had,Beyonce,Dance Pop,2011,99,65,55,-4,9,30,254,14,3,73
126,1+1,Beyonce,Dance Pop,2011,63,38,30,-7,7,26,274,38,3,60
127,Partition,Beyonce,Dance Pop,2014,186,44,41,-12,31,17,319,3,29,65
128,XO,Beyonce,Dance Pop,2014,170,79,47,-9,31,21,216,17,26,56
129,Drunk in Love,Beyonce,Dance Pop,2014,140,62,59,-7,18,40,323,1,5,52
130,43776,Beyonce,Dance Pop,2015,136,71,75,-5,13,56,214,1,13,72
131,3,Britney Spears,Dance Pop,2010,135,71,70,-2,14,79,213,5,5,62
132,Till the World Ends,Britney Spears,Dance Pop,2011,132,71,69,-6,20,45,238,2,7,65
133,I Wanna Go,Britney Spears,Dance Pop,2011,130,55,70,-7,33,79,210,0,4,64
134,Hold It Against Me,Britney Spears,Dance Pop,2011,133,72,65,-5,24,39,229,1,4,59
135,Work Bitch,Britney Spears,Dance Pop,2013,128,82,63,-7,7,85,248,16,16,71
136,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,Dance Pop,2013,128,57,69,-5,11,73,257,2,5,45
137,Make Me... (feat. G-Eazy),Britney Spears,Dance Pop,2016,123,70,70,-7,22,58,231,16,10,53
138,Invitation,Britney Spears,Dance Pop,2016,112,65,37,-7,9,16,200,3,11,44
139,Do You Wanna Come Over?,Britney Spears,Dance Pop,2016,121,70,75,-6,11,45,203,1,7,34
140,Under Control,Calvin Harris,Dance Pop,2013,126,92,54,-3,12,51,184,13,8,74
141,Sweet Nothing (feat. Florence Welch),Calvin Harris,Dance Pop,2013,128,93,57,-4,6,58,213,20,11,72
142,Summer,Calvin Harris,Dance Pop,2014,128,86,60,-4,14,74,223,2,3,80
143,How Deep Is Your Love,Calvin Harris,Dance Pop,2015,122,87,74,-4,39,34,213,4,7,77
144,Blame,Calvin Harris,Dance Pop,2015,128,86,41,-4,34,35,213,3,8,76
145,This Is What You Came For,Calvin Harris,Dance Pop,2016,124,93,63,-3,15,47,222,20,3,80
146,My Way,Calvin Harris,Dance Pop,2017,120,91,82,-3,16,54,219,9,4,78
147,Slide (feat. Frank Ocean & Migos),Calvin Harris,Dance Pop,2017,104,80,74,-3,25,51,231,50,5,75
148,One Kiss (with Dua Lipa),Calvin Harris,Dance Pop,2018,124,86,79,-3,8,59,215,4,11,86
149,Giant (with Rag'n'Bone Man),Calvin Harris,Dance Pop,2019,122,89,81,-4,8,61,229,2,4,84
150,Crying in the Club,Camila Cabello,Dance Pop,2017,85,62,33,-6,16,60,216,33,38,75
151,Havana (feat. Young Thug),Camila Cabello,Dance Pop,2018,105,52,77,-4,13,39,217,18,3,85
152,Never Be the Same - Radio Edit,Camila Cabello,Dance Pop,2018,130,69,63,-4,12,25,227,16,9,57
153,One Call Away (feat. Tyga) - Remix,Charlie Puth,Dance Pop,2016,91,69,75,-5,13,52,192,26,4,41
154,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,Dance Pop,2017,100,82,70,-5,45,67,218,49,22,59
155,Attention,Charlie Puth,Dance Pop,2018,100,61,78,-5,13,80,209,11,5,83
156,Yeah 3x,Chris Brown,Dance Pop,2011,130,88,71,-3,9,70,242,0,4,69
157,Turn Up the Music,Chris Brown,Dance Pop,2012,130,84,59,-6,16,64,228,0,10,65
158,No Guidance (feat. Drake),Chris Brown,Dance Pop,2019,93,45,70,-7,16,14,261,12,15,81
159,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Dance Pop,2010,164,41,29,-5,13,7,264,83,3,61
160,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Dance Pop,2010,150,85,51,-4,12,72,185,47,27,58
161,You Lost Me,Christina Aguilera,Dance Pop,2010,43,39,23,-6,14,7,257,85,4,56
162,Not Myself Tonight,Christina Aguilera,Dance Pop,2010,120,81,76,-5,56,54,186,0,4,55
163,Genie In a Bottle,Christina Aguilera,Dance Pop,2015,176,80,63,-7,14,91,218,21,16,72
164,Change,Christina Aguilera,Dance Pop,2016,82,54,62,-6,13,20,187,68,8,54
165,A Thousand Years,Christina Perri,Dance Pop,2011,139,41,42,-7,11,16,285,31,3,81
166,Jar of Hearts,Christina Perri,Dance Pop,2011,75,35,35,-6,12,9,247,73,3,50
167,human,Christina Perri,Dance Pop,2014,144,49,44,-6,11,25,251,13,4,68
168,Overdose,Ciara,Dance Pop,2013,107,70,77,-6,6,79,227,1,3,43
169,Rather Be (feat. Jess Glynne),Clean Bandit,Dance Pop,2015,121,59,80,-7,19,55,228,16,4,73
170,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Dance Pop,2017,102,76,72,-4,18,74,251,41,5,78
171,Sexy Bitch (feat. Akon),David Guetta,Dance Pop,2010,130,63,81,-5,13,80,196,8,5,61
172,Without You (feat. Usher),David Guetta,Dance Pop,2011,128,61,61,-4,16,40,208,23,3,68
173,Titanium (feat. Sia),David Guetta,Dance Pop,2012,126,79,60,-4,13,30,245,7,10,80
174,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,Dance Pop,2013,130,87,72,-3,66,68,209,4,4,67
175,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,Dance Pop,2014,192,77,35,-4,12,4,191,6,5,61
176,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Dance Pop,2015,86,73,60,-4,33,53,193,24,15,72
177,Bang My Head (feat. Sia & Fetty Wap),David Guetta,Dance Pop,2015,108,87,60,-4,10,59,193,5,8,54
178,Yesterday (feat. Bebe Rexha),David Guetta,Dance Pop,2015,128,78,57,-4,33,28,243,2,3,46
179,2U (feat. Justin Bieber),David Guetta,Dance Pop,2018,145,61,53,-7,23,53,195,23,6,65
180,Heart Attack,Demi Lovato,Dance Pop,2013,174,79,50,-5,24,50,211,7,10,76
181,Made In The USA,Demi Lovato,Dance Pop,2013,87,86,58,-4,32,59,196,0,4,60
182,"Let It Go - From ""Frozen / Single Version",Demi Lovato,Dance Pop,2014,140,66,50,-6,27,25,226,3,4,63
183,Really Don't Care,Demi Lovato,Dance Pop,2015,121,73,71,-4,19,85,202,12,9,70
184,Confident,Demi Lovato,Dance Pop,2016,130,75,59,-6,9,34,206,0,7,75
185,Body Say,Demi Lovato,Dance Pop,2016,87,74,63,-5,28,26,194,0,4,65
186,Sorry Not Sorry,Demi Lovato,Dance Pop,2018,144,64,71,-7,26,89,204,2,23,81
187,Tell Me You Love Me - NOTD Remix,Demi Lovato,Dance Pop,2018,102,77,58,-5,9,76,182,5,8,44
188,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,Dance Pop,2017,81,67,61,-4,17,81,289,6,4,77
189,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Dance Pop,2018,98,67,67,-3,12,63,204,3,7,76
190,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,Dance Pop,2019,136,76,53,-5,9,65,260,7,34,70
191,Cake By The Ocean,DNCE,Dance Pop,2016,119,75,77,-5,4,90,219,15,5,81
192,Toothbrush,DNCE,Dance Pop,2016,105,79,55,-6,47,82,232,12,13,72
193,Blown,DNCE,Dance Pop,2016,130,95,63,-5,10,73,197,0,4,48
194,Kissing Strangers,DNCE,Dance Pop,2017,120,74,77,-6,9,86,202,5,4,66
195,Body Moves,DNCE,Dance Pop,2017,102,69,65,-5,4,86,236,0,4,62
196,Kissing Strangers - Remix,DNCE,Dance Pop,2017,120,77,76,-6,8,81,202,8,5,43
197,New Rules,Dua Lipa,Dance Pop,2018,116,70,76,-6,15,61,209,0,7,84
198,IDGAF,Dua Lipa,Dance Pop,2018,97,54,84,-6,8,51,218,4,9,84
199,Want To,Dua Lipa,Dance Pop,2018,92,69,57,-5,6,32,212,8,12,67
200,Lights - Single Version,Ellie Goulding,Dance Pop,2012,120,80,68,-6,13,78,211,3,4,65
201,Anything Could Happen,Ellie Goulding,Dance Pop,2013,103,78,70,-4,14,38,286,43,3,52
202,Burn,Ellie Goulding,Dance Pop,2014,87,78,56,-5,11,33,231,31,4,71
203,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Dance Pop,2015,190,61,26,-7,13,28,253,25,5,79
204,On My Mind,Ellie Goulding,Dance Pop,2015,155,71,70,-7,9,74,213,26,5,65
205,Next To Me,Emeli Sande,Dance Pop,2013,95,80,67,-5,11,35,197,9,4,60
206,Clown,Emeli Sande,Dance Pop,2013,130,23,45,-8,11,23,221,92,4,60
207,Hurts,Emeli Sande,Dance Pop,2016,106,64,58,-8,15,18,238,2,3,57
208,I Like It,Enrique Iglesias,Dance Pop,2010,129,94,65,-3,6,73,231,2,9,63
209,Tonight (I'm Fuckin' You),Enrique Iglesias,Dance Pop,2011,126,89,65,-4,12,32,232,3,5,63
210,Finally Found You,Enrique Iglesias,Dance Pop,2013,128,88,62,-5,35,66,221,1,10,52
211,Let Me Be Your Lover,Enrique Iglesias,Dance Pop,2015,112,90,72,-4,6,88,238,1,13,34
212,MOVE TO MIAMI,Enrique Iglesias,Dance Pop,2018,100,87,76,-4,7,90,169,3,5,64
213,Like A G6,Far East Movement,Dance Pop,2010,125,84,44,-8,12,78,217,1,45,72
214,A Little Party Never Killed Nobody (All We Got),Fergie,Dance Pop,2013,130,62,76,-6,9,52,241,1,18,65
215,L.A.LOVE (la la),Fergie,Dance Pop,2015,202,39,48,-8,26,27,193,2,9,0
216,Worth It,Fifth Harmony,Dance Pop,2015,100,77,88,-4,12,59,225,6,9,75
217,BO$$,Fifth Harmony,Dance Pop,2015,103,87,81,-5,5,74,171,1,11,66
218,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,Dance Pop,2016,105,59,80,-6,6,59,214,10,4,79
219,Angel,Fifth Harmony,Dance Pop,2017,124,53,74,-6,35,13,189,0,4,59
220,Club Can't Handle Me (feat. David Guetta),Flo Rida,Dance Pop,2010,128,87,62,-4,6,47,235,3,3,73
221,My House,Flo Rida,Dance Pop,2015,94,70,69,-5,13,74,192,2,5,77
222,Baby Don't Lie,Gwen Stefani,Dance Pop,2015,100,55,69,-5,10,26,203,1,3,52
223,Spark The Fire,Gwen Stefani,Dance Pop,2015,120,80,88,-4,20,54,202,8,6,39
224,Make Me Like You,Gwen Stefani,Dance Pop,2016,118,71,74,-5,13,80,217,4,5,50
225,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,Dance Pop,2012,90,80,65,-3,27,80,211,3,10,54
226,Starving,Hailee Steinfeld,Dance Pop,2016,100,62,73,-4,11,51,182,38,6,78
227,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Dance Pop,2018,103,71,66,-4,8,74,175,3,5,82
228,Capital Letters,Hailee Steinfeld,Dance Pop,2018,100,81,66,-6,5,46,219,3,8,76
229,Bad At Love,Halsey,Dance Pop,2018,118,75,68,-4,9,61,181,6,3,78
230,Sign of the Times,Harry Styles,Dance Pop,2018,120,57,52,-5,11,21,341,3,3,72
231,What I Need (feat. Kehlani),Hayley Kiyoko,Dance Pop,2018,104,79,63,-4,16,41,220,5,6,67
232,Sparks,Hilary Duff,Dance Pop,2015,122,88,85,-5,10,79,186,4,6,44
233,Little Lies,Hilary Duff,Dance Pop,2016,124,76,57,-6,4,40,204,0,6,36
234,Tonight Tonight,Hot Chelle Rae,Dance Pop,2011,100,78,69,-5,16,81,200,8,12,75
235,BURNITUP!,Janet Jackson,Dance Pop,2016,123,71,83,-7,31,83,250,5,18,31
236,Talk Dirty (feat. 2 Chainz),Jason Derulo,Dance Pop,2014,100,65,76,-7,31,76,178,3,23,68
237,Wiggle (feat. Snoop Dogg),Jason Derulo,Dance Pop,2014,82,62,70,-7,16,72,193,8,25,67
238,Want to Want Me,Jason Derulo,Dance Pop,2015,114,68,78,-6,11,66,208,1,6,77
239,Trumpets,Jason Derulo,Dance Pop,2015,82,70,63,-5,10,64,217,56,24,69
240,Dangerous,Jennifer Hudson,Dance Pop,2015,109,53,90,-5,8,65,255,0,5,18
241,On The Floor,Jennifer Lopez,Dance Pop,2011,130,78,73,-5,7,57,285,11,5,69
242,I'm Into You,Jennifer Lopez,Dance Pop,2011,84,75,59,-4,8,70,200,2,14,59
